epoch	pid	rss_kb	physical_bytes	vmmap_line
1788357664	95392	1568	6193152	Physical footprint:         6048K
1788357671	95392	758176	795659468	Physical footprint:         758.8M
1788357678	95392	1685920	1717986918	Physical footprint:         1.6G
1788357685	95392	1696528	1717986918	Physical footprint:         1.6G
1788357692	95392	1736768	1825361100	Physical footprint:         1.7G
1788357698	95392	1755040	1825361100	Physical footprint:         1.7G
1788357705	95392	1833120	1825361100	Physical footprint:         1.7G
1788357712	95392	1873392	1932735283	Physical footprint:         1.8G
1788357719	95392	1898800	1932735283	Physical footprint:         1.8G
1788357726	95392	1919024	1932735283	Physical footprint:         1.8G
1788357733	95392	1967504	2040109465	Physical footprint:         1.9G
1788357740	95392	2099392	2147483648	Physical footprint:         2.0G
1788357746	95392	2201056	2254857830	Physical footprint:         2.1G
1788357753	95392	2333936	2362232012	Physical footprint:         2.2G
1788357760	95392	2460656	2469606195	Physical footprint:         2.3G
1788357767	95392	2489632	2576980377	Physical footprint:         2.4G
1788357774	95392	2538064	2576980377	Physical footprint:         2.4G
1788357781	95392	2582272	2684354560	Physical footprint:         2.5G
1788357788	95392	2674752	2684354560	Physical footprint:         2.5G
1788357795	95392	2707488	2791728742	Physical footprint:         2.6G
1788357802	95392	2747968	2791728742	Physical footprint:         2.6G
1788357809	95392	2802832	2899102924	Physical footprint:         2.7G
1788357816	95392	2940128	3006477107	Physical footprint:         2.8G
1788357823	95392	3021696	3113851289	Physical footprint:         2.9G
1788357830	95392	3060000	3113851289	Physical footprint:         2.9G
1788357837	95392	3101744	3221225472	Physical footprint:         3.0G
1788357844	95392	3136416	3221225472	Physical footprint:         3.0G
1788357851	95392	3173456	3221225472	Physical footprint:         3.0G
1788357858	95392	3215856	3328599654	Physical footprint:         3.1G
1788357866	95392	3353536	3435973836	Physical footprint:         3.2G
1788357873	95392	3433824	3543348019	Physical footprint:         3.3G
1788357880	95392	3480368	3543348019	Physical footprint:         3.3G
1788357887	95392	3507632	3543348019	Physical footprint:         3.3G
1788357894	95392	3544288	3650722201	Physical footprint:         3.4G
1788357901	95392	3638656	3758096384	Physical footprint:         3.5G
1788357908	95392	3755504	3865470566	Physical footprint:         3.6G
1788357915	95392	3803024	3865470566	Physical footprint:         3.6G
1788357922	95392	3852688	3972844748	Physical footprint:         3.7G
1788357930	95392	3876048	3972844748	Physical footprint:         3.7G
1788357937	95392	3912336	3972844748	Physical footprint:         3.7G
1788357944	95392	4008432	4080218931	Physical footprint:         3.8G
1788357951	95392	4116048	4187593113	Physical footprint:         3.9G
1788357958	95392	4171872	4294967296	Physical footprint:         4.0G
1788357966	95392	4217840	4294967296	Physical footprint:         4.0G
1788357973	95392	4247056	4294967296	Physical footprint:         4.0G
1788357980	95392	4332144	4402341478	Physical footprint:         4.1G
1788357987	95392	4473488	4617089843	Physical footprint:         4.3G
1788357994	95392	4550080	4617089843	Physical footprint:         4.3G
1788358002	95392	4592112	4724464025	Physical footprint:         4.4G
1788358009	95392	4629728	4724464025	Physical footprint:         4.4G
1788358016	95392	4667808	4724464025	Physical footprint:         4.4G
1788358024	95392	4719728	4831838208	Physical footprint:         4.5G
1788358031	95392	4859552	4939212390	Physical footprint:         4.6G
1788358038	95392	4938704	5046586572	Physical footprint:         4.7G
1788358046	95392	4982624	5046586572	Physical footprint:         4.7G
1788358053	95392	5014032	5153960755	Physical footprint:         4.8G
1788358060	95392	5053296	5153960755	Physical footprint:         4.8G
1788358067	95392	5151664	5261334937	Physical footprint:         4.9G
1788358075	95392	5276608	5368709120	Physical footprint:         5.0G
1788358082	95392	5317616	5476083302	Physical footprint:         5.1G
1788358090	95392	5372992	5476083302	Physical footprint:         5.1G
1788358097	95392	5398736	5476083302	Physical footprint:         5.1G
1788358104	95392	5437472	5583457484	Physical footprint:         5.2G
1788358112	95392	5534752	5690831667	Physical footprint:         5.3G
1788358119	95392	5649568	5798205849	Physical footprint:         5.4G
1788358127	95392	5699008	5798205849	Physical footprint:         5.4G
1788358134	95392	5751328	5905580032	Physical footprint:         5.5G
1788358141	95392	5775280	5905580032	Physical footprint:         5.5G
1788358149	95392	5814336	5905580032	Physical footprint:         5.5G
1788358156	95392	5913008	6012954214	Physical footprint:         5.6G
1788358164	95392	6049008	6227702579	Physical footprint:         5.8G
1788358171	95392	6179088	6335076761	Physical footprint:         5.9G
1788358179	95392	6215872	6335076761	Physical footprint:         5.9G
1788358186	95392	6264608	6442450944	Physical footprint:         6.0G
1788358194	95392	6297712	6442450944	Physical footprint:         6.0G
1788358201	95392	6338768	6442450944	Physical footprint:         6.0G
1788358209	95392	6384464	6549825126	Physical footprint:         6.1G
1788358216	95392	6526384	6657199308	Physical footprint:         6.2G
1788358224	95392	6588416	6764573491	Physical footprint:         6.3G
1788358232	95392	6648480	6764573491	Physical footprint:         6.3G
1788358239	95392	6703744	6871947673	Physical footprint:         6.4G
1788358247	95392	6732032	6871947673	Physical footprint:         6.4G
1788358254	95392	6772048	6979321856	Physical footprint:         6.5G
1788358262	95392	6911152	7086696038	Physical footprint:         6.6G
1788358270	95392	6974752	7086696038	Physical footprint:         6.6G
1788358277	95392	7035232	7194070220	Physical footprint:         6.7G
1788358285	95392	7087744	7301444403	Physical footprint:         6.8G
1788358292	95392	7116864	7301444403	Physical footprint:         6.8G
1788358300	95392	7156256	7301444403	Physical footprint:         6.8G
1788358308	95392	7296992	7516192768	Physical footprint:         7.0G
1788358315	95392	7358736	7516192768	Physical footprint:         7.0G
1788358323	95392	7420096	7623566950	Physical footprint:         7.1G
1788358331	95392	7473552	7623566950	Physical footprint:         7.1G
